Freelancer_ID,Job_Category,Platform,Experience_Level,Client_Region,Payment_Method,Job_Completed,Earnings_USD,Hourly_Rate,Job_Success_Rate,Client_Rating,Job_Duration_Days,Project_Type,Rehire_Rate,Marketing_Spend,Earnings_per_Project,Is_Expert,Region_Short,Job_Range_Label,Hourly_Band,High_Earner,Client_Tier
15,App Development,Freelancer,Beginner,UK,Crypto,245,9347,11.6,59.09,4.14,40,Hourly,77.6,362,38.15102040816326,False,Other,100+,10$–30$,True,Mid
16,Data Entry,Freelancer,Intermediate,UK,Bank Transfer,149,9332,51.07,59.17,4.18,61,Hourly,37.66,411,62.630872483221474,False,Other,100+,30$+,True,Mid
17,Customer Support,Toptal,Expert,UK,Mobile Banking,18,1657,49.55,65.21,3.37,44,Hourly,60.99,9,92.05555555555556,True,Other,10–99,30$+,False,Mid
18,Customer Support,Freelancer,Intermediate,Middle East,PayPal,279,5124,29.85,76.24,3.72,62,Hourly,34.21,56,18.365591397849464,False,Other,100+,10$–30$,False,Mid
19,Graphic Design,PeoplePerHour,Expert,Asia,Crypto,75,7203,92.55,71.6,3.67,44,Hourly,56.98,198,96.04,True,Other,10–99,30$+,False,Mid
20,Data Entry,PeoplePerHour,Beginner,Canada,Bank Transfer,199,6783,44.69,64.56,3.05,48,Hourly,66.38,160,34.085427135678394,False,North America,100+,30$+,False,Mid
21,SEO,Toptal,Beginner,USA,PayPal,15,116,87.09,80.59,3.05,74,Hourly,76.27,262,7.733333333333333,False,Other,10–99,30$+,False,Mid
22,Data Entry,Fiverr,Expert,UK,Crypto,110,8050,15.42,56.97,4.66,59,Fixed,38.01,388,73.18181818181819,True,Other,100+,10$–30$,True,High
23,Customer Support,Upwork,Intermediate,USA,Crypto,262,7695,35.29,64.61,3.55,57,Hourly,64.83,473,29.370229007633586,False,Other,100+,30$+,True,Mid
24,Graphic Design,Fiverr,Beginner,Canada,Bank Transfer,200,9520,21.75,68.32,4.04,11,Fixed,28.61,380,47.6,False,North America,100+,10$–30$,True,Mid
25,Graphic Design,Fiverr,Expert,Middle East,PayPal,149,4208,43.8,72.8,3.6,25,Fixed,79.32,252,28.241610738255034,True,Other,100+,30$+,False,Mid
26,Content Writing,Fiverr,Intermediate,Canada,Bank Transfer,224,9055,15.61,89.26,4.88,61,Hourly,11.8,118,40.424107142857146,False,North America,100+,10$–30$,True,High
27,App Development,Fiverr,Expert,Europe,Crypto,178,452,46.9,59.98,3.52,46,Fixed,52.25,79,2.539325842696629,True,Other,100+,30$+,False,Mid
28,Digital Marketing,Upwork,Intermediate,Asia,Crypto,220,7975,38.62,75.71,3.86,54,Fixed,56.17,123,36.25,False,Other,100+,30$+,True,Mid
29,Web Development,Freelancer,Intermediate,UK,Mobile Banking,97,4216,26.21,79.62,4.75,34,Hourly,58.16,312,43.4639175257732,False,Other,10–99,10$–30$,False,High
30,Web Development,Fiverr,Intermediate,Middle East,Crypto,264,2975,66.01,52.32,4.68,84,Fixed,18.43,71,11.268939393939394,False,Other,100+,30$+,False,High
31,Data Entry,PeoplePerHour,Intermediate,Europe,Crypto,67,3043,95.34,80.38,3.37,7,Hourly,75.7,469,45.417910447761194,False,Other,10–99,30$+,False,Mid
32,Content Writing,Toptal,Expert,UK,PayPal,33,9328,24.68,58.53,4.61,62,Fixed,22.68,481,282.6666666666667,True,Other,10–99,10$–30$,True,High
33,Data Entry,Toptal,Expert,Canada,PayPal,279,821,72.62,53.25,3.92,57,Fixed,53.59,167,2.942652329749104,True,North America,100+,30$+,False,Mid
34,Web Development,PeoplePerHour,Expert,Canada,Mobile Banking,289,7421,75.53,97.44,3.97,76,Hourly,25.59,283,25.67820069204152,True,North America,100+,30$+,False,Mid
35,App Development,Fiverr,Expert,Australia,Mobile Banking,74,9911,52.32,98.28,3.27,5,Fixed,31.51,493,133.93243243243242,True,Other,10–99,30$+,True,Mid
36,Customer Support,Upwork,Expert,Australia,Mobile Banking,283,5763,90.28,90.42,3.16,76,Fixed,48.25,35,20.363957597173144,True,Other,100+,30$+,False,Mid
37,App Development,Freelancer,Intermediate,Canada,Bank Transfer,235,8217,96.81,65.23,4.46,35,Hourly,39.2,311,34.96595744680851,False,North America,100+,30$+,True,Mid
38,App Development,Toptal,Beginner,Canada,Bank Transfer,259,1606,39.41,54.88,3.99,84,Hourly,21.22,174,6.2007722007722,False,North America,100+,30$+,False,Mid
39,Graphic Design,Freelancer,Beginner,USA,Mobile Banking,176,1201,66.85,84.21,3.87,37,Fixed,21.97,198,6.823863636363637,False,Other,100+,30$+,False,Mid
40,Customer Support,Upwork,Expert,Asia,Bank Transfer,184,5364,67.91,72.01,4.46,60,Fixed,39.27,115,29.152173913043477,True,Other,100+,30$+,False,Mid
41,Digital Marketing,Toptal,Expert,USA,Crypto,268,1267,43.35,56.1,4.53,65,Hourly,63.01,423,4.727611940298507,True,Other,100+,30$+,False,High
42,Customer Support,Freelancer,Beginner,Asia,Mobile Banking,187,3994,35.1,74.76,3.32,16,Fixed,72.86,314,21.358288770053477,False,Other,100+,30$+,False,Mid
43,Content Writing,Upwork,Intermediate,Europe,Mobile Banking,209,8089,93.71,51.72,4.22,30,Hourly,15.89,426,38.70334928229665,False,Other,100+,30$+,True,Mid
44,Graphic Design,Freelancer,Expert,Australia,Bank Transfer,253,2092,80.05,95.47,3.27,73,Hourly,37.52,219,8.268774703557312,True,Other,100+,30$+,False,Mid
45,Digital Marketing,Fiverr,Intermediate,Australia,PayPal,217,6353,15.87,62.94,4.5,42,Hourly,17.02,378,29.276497695852534,False,Other,100+,10$–30$,False,Mid
46,Content Writing,Upwork,Beginner,Canada,Mobile Banking,163,8947,16.39,83.13,4.31,61,Fixed,11.16,65,54.88957055214724,False,North America,100+,10$–30$,True,Mid
47,Content Writing,Freelancer,Beginner,Canada,Bank Transfer,104,2719,92.64,65.59,4.91,74,Fixed,56.32,264,26.14423076923077,False,North America,100+,30$+,False,High
48,Web Development,Fiverr,Expert,Europe,Bank Transfer,116,2163,12.73,76.0,3.14,77,Fixed,52.17,133,18.646551724137932,True,Other,100+,10$–30$,False,Mid
49,Graphic Design,Fiverr,Intermediate,Middle East,PayPal,170,3027,70.4,77.34,3.11,48,Hourly,21.41,118,17.805882352941175,False,Other,100+,30$+,False,Mid
50,Content Writing,Upwork,Expert,Middle East,Mobile Banking,40,4428,26.54,59.24,3.56,62,Fixed,26.37,121,110.7,True,Other,10–99,10$–30$,False,Mid
51,SEO,PeoplePerHour,Beginner,Middle East,PayPal,116,7277,8.34,98.48,3.52,84,Hourly,11.66,320,62.73275862068966,False,Other,100+,<10$,False,Mid
52,App Development,Toptal,Intermediate,Australia,Crypto,91,6311,10.67,88.76,3.49,64,Fixed,68.45,386,69.35164835164835,False,Other,10–99,10$–30$,False,Mid
53,Content Writing,Upwork,Expert,USA,PayPal,187,472,40.48,96.97,4.81,57,Hourly,78.23,457,2.5240641711229945,True,Other,100+,30$+,False,High
54,Digital Marketing,Fiverr,Expert,Middle East,PayPal,89,8772,12.37,94.74,3.5,68,Hourly,19.48,420,98.56179775280899,True,Other,10–99,10$–30$,True,Mid
55,Web Development,Fiverr,Expert,UK,Bank Transfer,273,140,61.68,79.89,3.54,46,Fixed,26.2,382,0.5128205128205128,True,Other,100+,30$+,False,Mid
56,Data Entry,Upwork,Beginner,Europe,PayPal,169,3422,66.49,96.09,4.52,28,Hourly,70.79,491,20.24852071005917,False,Other,100+,30$+,False,High
57,App Development,PeoplePerHour,Expert,Middle East,Crypto,94,6086,40.48,54.42,3.9,77,Fixed,74.85,86,64.74468085106383,True,Other,10–99,30$+,False,Mid
58,Web Development,Toptal,Intermediate,UK,Bank Transfer,242,1992,75.57,59.8,4.55,3,Fixed,39.37,288,8.231404958677686,False,Other,100+,30$+,False,High
59,Data Entry,Freelancer,Expert,Middle East,Crypto,26,3855,51.55,52.26,3.13,37,Fixed,13.54,136,148.26923076923077,True,Other,10–99,30$+,False,Mid
60,Graphic Design,Upwork,Beginner,USA,PayPal,171,9482,45.87,66.27,3.98,48,Fixed,12.76,52,55.45029239766082,False,Other,100+,30$+,True,Mid
61,Graphic Design,Toptal,Expert,USA,Crypto,219,147,43.66,69.43,3.07,19,Fixed,50.18,204,0.6712328767123288,True,Other,100+,30$+,False,Mid
62,Content Writing,Toptal,Beginner,Middle East,Crypto,62,1529,45.96,63.57,3.13,83,Hourly,37.5,347,24.661290322580644,False,Other,10–99,30$+,False,Mid
63,SEO,Fiverr,Beginner,UK,PayPal,34,4676,96.95,91.44,4.81,17,Fixed,12.01,50,137.52941176470588,False,Other,10–99,30$+,False,High
64,Graphic Design,Freelancer,Intermediate,Europe,PayPal,110,5197,69.73,67.84,3.28,82,Hourly,50.83,326,47.24545454545454,False,Other,100+,30$+,False,Mid
65,Customer Support,Upwork,Intermediate,UK,Bank Transfer,171,3697,34.94,64.05,4.06,82,Fixed,10.79,409,21.619883040935672,False,Other,100+,30$+,False,Mid
66,Content Writing,Fiverr,Expert,Europe,Bank Transfer,158,5493,74.72,77.13,3.82,87,Hourly,65.12,399,34.765822784810126,True,Other,100+,30$+,False,Mid
67,App Development,Fiverr,Beginner,Middle East,Mobile Banking,11,129,36.38,57.05,3.69,40,Hourly,31.45,39,11.727272727272727,False,Other,10–99,30$+,False,Mid
68,Web Development,PeoplePerHour,Beginner,Europe,Bank Transfer,201,5627,16.94,90.11,4.8,50,Fixed,12.82,249,27.99502487562189,False,Other,100+,10$–30$,False,High
69,Graphic Design,Toptal,Intermediate,Canada,PayPal,50,2273,50.16,53.73,3.04,73,Hourly,51.18,217,45.46,False,North America,10–99,30$+,False,Mid
70,Customer Support,Upwork,Intermediate,Australia,Crypto,22,2619,76.35,99.34,4.33,29,Fixed,37.84,178,119.04545454545455,False,Other,10–99,30$+,False,Mid
71,Web Development,Upwork,Expert,Asia,Crypto,157,4568,40.88,88.61,4.93,51,Fixed,78.17,38,29.095541401273884,True,Other,100+,30$+,False,High
72,Web Development,Upwork,Beginner,Australia,Bank Transfer,268,1173,87.57,59.94,4.12,42,Fixed,48.09,182,4.376865671641791,False,Other,100+,30$+,False,Mid
73,SEO,Fiverr,Intermediate,USA,Bank Transfer,78,2673,41.76,50.28,4.87,29,Hourly,29.27,223,34.26923076923077,False,Other,10–99,30$+,False,High
74,Graphic Design,PeoplePerHour,Expert,Canada,PayPal,149,1453,38.23,90.77,3.1,66,Hourly,59.66,163,9.751677852348994,True,North America,100+,30$+,False,Mid
75,Web Development,Freelancer,Beginner,Australia,Crypto,106,2628,99.83,85.34,3.84,17,Hourly,29.0,233,24.79245283018868,False,Other,100+,30$+,False,Mid
76,SEO,Fiverr,Beginner,Middle East,Mobile Banking,125,381,50.83,86.45,3.52,31,Hourly,73.3,376,3.048,False,Other,100+,30$+,False,Mid
77,SEO,Freelancer,Intermediate,Europe,Mobile Banking,180,7535,81.5,88.56,4.46,52,Fixed,36.23,192,41.861111111111114,False,Other,100+,30$+,False,Mid
78,Graphic Design,PeoplePerHour,Expert,Europe,Bank Transfer,67,789,81.47,53.7,4.96,39,Fixed,48.49,496,11.776119402985074,True,Other,10–99,30$+,False,High
79,SEO,Toptal,Intermediate,UK,Mobile Banking,88,8283,93.01,67.92,3.51,60,Hourly,13.54,84,94.125,False,Other,10–99,30$+,True,Mid
80,Graphic Design,Upwork,Expert,UK,PayPal,19,5030,13.07,55.79,4.31,51,Hourly,39.83,460,264.7368421052632,True,Other,10–99,10$–30$,False,Mid
81,Customer Support,Freelancer,Beginner,Europe,Mobile Banking,138,3928,30.77,93.16,3.4,84,Fixed,68.27,242,28.463768115942027,False,Other,100+,30$+,False,Mid
82,Graphic Design,Fiverr,Expert,Middle East,Bank Transfer,125,1999,77.94,81.16,4.13,16,Hourly,66.4,473,15.992,True,Other,100+,30$+,False,Mid
83,Data Entry,Freelancer,Expert,Europe,PayPal,132,3510,58.45,66.54,3.93,14,Fixed,25.7,172,26.59090909090909,True,Other,100+,30$+,False,Mid
84,Web Development,Toptal,Expert,UK,Crypto,292,2178,58.16,53.18,4.94,84,Hourly,25.83,392,7.458904109589041,True,Other,100+,30$+,False,High
85,Customer Support,Upwork,Expert,Australia,PayPal,184,4547,20.79,65.55,4.22,42,Hourly,67.21,36,24.71195652173913,True,Other,100+,10$–30$,False,Mid
86,Digital Marketing,Freelancer,Expert,USA,Bank Transfer,86,2204,31.71,66.26,3.7,51,Hourly,75.13,86,25.627906976744185,True,Other,10–99,30$+,False,Mid
87,Graphic Design,Toptal,Intermediate,UK,Bank Transfer,17,5280,54.53,86.48,3.23,24,Fixed,16.68,128,310.5882352941176,False,Other,10–99,30$+,False,Mid
88,Web Development,Fiverr,Expert,Middle East,Mobile Banking,28,7494,31.33,81.88,3.3,82,Fixed,41.5,193,267.64285714285717,True,Other,10–99,30$+,False,Mid
89,App Development,PeoplePerHour,Expert,Australia,Mobile Banking,172,1287,24.98,94.36,3.45,43,Hourly,33.62,318,7.482558139534884,True,Other,100+,10$–30$,False,Mid
90,SEO,Fiverr,Beginner,Australia,Crypto,274,8747,13.34,73.61,3.5,73,Hourly,70.95,42,31.923357664233578,False,Other,100+,10$–30$,True,Mid
91,Content Writing,Upwork,Expert,Australia,Crypto,74,5290,19.79,55.98,4.7,19,Hourly,15.85,411,71.48648648648648,True,Other,10–99,10$–30$,False,High
92,Graphic Design,Fiverr,Beginner,Canada,Bank Transfer,93,4865,78.04,85.66,4.12,84,Hourly,24.78,355,52.31182795698925,False,North America,10–99,30$+,False,Mid
93,SEO,Fiverr,Intermediate,Canada,Bank Transfer,193,9636,73.28,88.04,4.05,61,Hourly,62.67,158,49.92746113989637,False,North America,100+,30$+,True,Mid
94,SEO,Fiverr,Intermediate,Asia,Bank Transfer,261,306,9.35,78.06,3.23,63,Hourly,13.59,104,1.1724137931034482,False,Other,100+,<10$,False,Mid
95,SEO,Fiverr,Expert,Australia,Crypto,221,1770,24.31,88.55,4.72,26,Hourly,44.48,452,8.009049773755656,True,Other,100+,10$–30$,False,High
96,SEO,Upwork,Intermediate,Middle East,Bank Transfer,36,7397,58.24,74.69,4.45,35,Hourly,40.95,228,205.47222222222223,False,Other,10–99,30$+,False,Mid
97,SEO,Toptal,Expert,Europe,Crypto,145,7126,35.65,76.14,3.14,67,Fixed,33.41,216,49.144827586206894,True,Other,100+,30$+,False,Mid
98,Graphic Design,Freelancer,Intermediate,Middle East,Bank Transfer,165,1121,83.21,71.38,4.42,56,Fixed,37.62,263,6.793939393939394,False,Other,100+,30$+,False,Mid
99,App Development,PeoplePerHour,Expert,Canada,PayPal,36,1672,79.57,51.27,4.09,40,Fixed,47.1,417,46.44444444444444,True,North America,10–99,30$+,False,Mid
100,Digital Marketing,Freelancer,Expert,UK,PayPal,156,2116,89.7,55.39,3.16,29,Fixed,21.3,486,13.564102564102564,True,Other,100+,30$+,False,Mid
101,Data Entry,Freelancer,Beginner,Asia,Bank Transfer,264,9311,58.48,51.57,3.92,6,Hourly,50.04,48,35.26893939393939,False,Other,100+,30$+,True,Mid
102,SEO,PeoplePerHour,Beginner,Canada,PayPal,220,8692,38.45,81.82,3.97,52,Fixed,66.38,351,39.50909090909091,False,North America,100+,30$+,True,Mid
103,SEO,Upwork,Beginner,Europe,Crypto,283,947,62.58,65.72,3.33,1,Fixed,63.21,441,3.3462897526501765,False,Other,100+,30$+,False,Mid
104,Data Entry,PeoplePerHour,Beginner,USA,Mobile Banking,289,5225,13.47,75.43,4.89,52,Hourly,20.77,122,18.079584775086506,False,Other,100+,10$–30$,False,High
105,App Development,Upwork,Expert,Asia,PayPal,102,8323,5.91,95.38,4.7,24,Fixed,20.45,458,81.59803921568627,True,Other,100+,<10$,True,High
106,Customer Support,Freelancer,Intermediate,Canada,Mobile Banking,34,8978,6.62,62.46,4.34,34,Fixed,28.77,302,264.05882352941177,False,North America,10–99,<10$,True,Mid
107,App Development,Upwork,Expert,Middle East,PayPal,94,4224,43.72,70.52,3.92,7,Fixed,35.28,24,44.93617021276596,True,Other,10–99,30$+,False,Mid
108,Customer Support,Toptal,Beginner,Asia,Crypto,152,5831,26.67,87.78,3.82,75,Fixed,38.59,130,38.36184210526316,False,Other,100+,10$–30$,False,Mid
109,Graphic Design,PeoplePerHour,Beginner,Middle East,PayPal,148,3994,19.95,61.44,4.3,11,Fixed,57.58,428,26.986486486486488,False,Other,100+,10$–30$,False,Mid
110,Web Development,Toptal,Intermediate,Australia,PayPal,71,6476,63.46,53.85,4.09,36,Hourly,13.97,369,91.21126760563381,False,Other,10–99,30$+,False,Mid
111,Content Writing,Freelancer,Beginner,Australia,Bank Transfer,62,5485,99.53,64.49,3.12,20,Hourly,12.43,435,88.46774193548387,False,Other,10–99,30$+,False,Mid
112,Content Writing,PeoplePerHour,Expert,Australia,Mobile Banking,285,9933,21.89,58.06,4.03,63,Hourly,37.43,223,34.85263157894737,True,Other,100+,10$–30$,True,Mid
113,Web Development,Freelancer,Expert,Asia,Mobile Banking,283,9421,56.91,96.48,4.61,80,Fixed,58.8,499,33.28975265017668,True,Other,100+,30$+,True,High
114,Graphic Design,Toptal,Expert,USA,Crypto,240,2985,16.37,90.41,3.92,63,Fixed,23.54,98,12.4375,True,Other,100+,10$–30$,False,Mid
115,Content Writing,Freelancer,Expert,Europe,Crypto,132,5883,93.75,81.67,3.1,69,Fixed,54.91,351,44.56818181818182,True,Other,100+,30$+,False,Mid
116,App Development,PeoplePerHour,Expert,Asia,Mobile Banking,213,8138,32.72,93.57,4.57,88,Hourly,28.19,289,38.20657276995305,True,Other,100+,30$+,True,High
117,Data Entry,PeoplePerHour,Intermediate,UK,Bank Transfer,190,511,88.44,90.18,3.4,30,Fixed,72.03,484,2.6894736842105265,False,Other,100+,30$+,False,Mid
118,Web Development,Freelancer,Expert,Middle East,Bank Transfer,173,166,31.89,59.33,3.52,30,Fixed,72.7,499,0.9595375722543352,True,Other,100+,30$+,False,Mid
119,App Development,PeoplePerHour,Beginner,Middle East,Mobile Banking,176,5835,81.57,94.63,3.33,84,Fixed,30.81,196,33.15340909090909,False,Other,100+,30$+,False,Mid
120,Digital Marketing,PeoplePerHour,Beginner,Asia,PayPal,264,6557,24.89,76.97,3.66,22,Fixed,26.1,108,24.83712121212121,False,Other,100+,10$–30$,False,Mid
121,Graphic Design,Freelancer,Beginner,Asia,Mobile Banking,209,9896,32.81,90.37,4.51,61,Hourly,38.79,347,47.34928229665072,False,Other,100+,30$+,True,High
122,Web Development,Toptal,Beginner,Europe,PayPal,139,5880,23.29,94.8,4.04,21,Hourly,26.84,219,42.302158273381295,False,Other,100+,10$–30$,False,Mid
123,Content Writing,PeoplePerHour,Intermediate,USA,Mobile Banking,50,4611,30.1,65.9,3.41,37,Fixed,57.07,263,92.22,False,Other,10–99,30$+,False,Mid
124,Graphic Design,PeoplePerHour,Beginner,Asia,PayPal,13,8177,84.31,55.5,4.76,27,Hourly,67.82,410,629.0,False,Other,10–99,30$+,True,High
125,Data Entry,PeoplePerHour,Intermediate,Australia,Bank Transfer,165,709,65.71,61.4,4.76,35,Hourly,57.12,207,4.296969696969697,False,Other,100+,30$+,False,High
126,Graphic Design,PeoplePerHour,Beginner,Europe,Mobile Banking,293,2172,43.56,71.36,4.74,38,Hourly,67.7,318,7.412969283276451,False,Other,100+,30$+,False,High
127,Graphic Design,Freelancer,Intermediate,UK,Crypto,110,1636,97.29,90.9,3.48,60,Fixed,37.79,81,14.872727272727273,False,Other,100+,30$+,False,Mid
128,Data Entry,Toptal,Intermediate,Australia,PayPal,294,4732,49.16,93.04,3.9,70,Hourly,20.94,24,16.095238095238095,False,Other,100+,30$+,False,Mid
129,SEO,Toptal,Intermediate,UK,Bank Transfer,92,6849,97.13,50.35,4.97,32,Hourly,61.66,185,74.44565217391305,False,Other,10–99,30$+,False,High
130,Data Entry,Upwork,Beginner,Canada,Crypto,196,8876,23.68,75.54,4.54,80,Fixed,35.23,431,45.285714285714285,False,North America,100+,10$–30$,True,High
131,App Development,PeoplePerHour,Intermediate,UK,Bank Transfer,157,7037,90.94,70.87,3.05,80,Hourly,56.99,384,44.82165605095541,False,Other,100+,30$+,False,Mid
132,Graphic Design,PeoplePerHour,Expert,Australia,PayPal,141,8025,6.31,61.11,3.13,27,Hourly,28.95,7,56.91489361702128,True,Other,100+,<10$,True,Mid
133,Customer Support,Upwork,Expert,Canada,Mobile Banking,277,2932,56.8,55.99,3.93,3,Hourly,15.69,123,10.584837545126353,True,North America,100+,30$+,False,Mid
134,Data Entry,Toptal,Beginner,Australia,Bank Transfer,153,5299,45.19,66.88,4.82,49,Fixed,79.48,148,34.63398692810458,False,Other,100+,30$+,False,High
135,SEO,Fiverr,Expert,Middle East,Mobile Banking,192,2861,54.88,97.15,4.08,85,Fixed,20.93,97,14.901041666666666,True,Other,100+,30$+,False,Mid
136,App Development,Fiverr,Expert,Australia,Mobile Banking,145,5577,57.58,66.16,4.0,30,Hourly,79.19,215,38.46206896551724,True,Other,100+,30$+,False,Mid
137,Customer Support,Toptal,Expert,Canada,Bank Transfer,135,1934,41.96,75.94,3.21,22,Fixed,78.41,100,14.325925925925926,True,North America,100+,30$+,False,Mid
138,Customer Support,PeoplePerHour,Beginner,UK,Bank Transfer,8,9760,99.83,85.15,4.31,19,Fixed,65.57,217,1220.0,False,Other,<10,30$+,True,Mid
139,Web Development,Fiverr,Beginner,Middle East,Bank Transfer,267,8863,97.77,68.18,4.64,31,Fixed,56.16,366,33.19475655430712,False,Other,100+,30$+,True,High
140,Data Entry,Freelancer,Expert,USA,Mobile Banking,30,5123,96.37,98.59,3.76,20,Hourly,50.45,461,170.76666666666668,True,Other,10–99,30$+,False,Mid
141,Data Entry,Freelancer,Beginner,USA,Crypto,28,9779,98.01,98.12,4.55,19,Hourly,70.63,412,349.25,False,Other,10–99,30$+,True,High
142,Graphic Design,Upwork,Intermediate,USA,PayPal,270,5466,80.34,62.59,4.93,2,Fixed,30.26,413,20.244444444444444,False,Other,100+,30$+,False,High
143,App Development,Toptal,Expert,USA,Crypto,233,5850,98.92,74.86,3.41,40,Hourly,42.74,258,25.107296137339056,True,Other,100+,30$+,False,Mid
144,Web Development,Toptal,Beginner,Europe,Mobile Banking,273,6945,89.77,65.04,4.05,39,Fixed,53.36,390,25.439560439560438,False,Other,100+,30$+,False,Mid
145,Digital Marketing,Fiverr,Beginner,USA,Bank Transfer,129,6365,44.51,64.24,3.57,72,Fixed,38.78,355,49.34108527131783,False,Other,100+,30$+,False,Mid
146,Digital Marketing,PeoplePerHour,Expert,Canada,Bank Transfer,176,4980,79.55,51.84,4.59,54,Hourly,39.92,10,28.295454545454547,True,North America,100+,30$+,False,High
147,Content Writing,Toptal,Beginner,Asia,PayPal,238,2415,91.65,80.48,4.16,27,Fixed,33.12,415,10.147058823529411,False,Other,100+,30$+,False,Mid
148,Data Entry,Fiverr,Expert,USA,PayPal,299,904,72.7,75.13,4.27,79,Fixed,49.5,58,3.0234113712374584,True,Other,100+,30$+,False,Mid
149,Data Entry,Fiverr,Beginner,Australia,Crypto,279,2778,45.16,52.57,4.6,12,Fixed,69.54,249,9.956989247311828,False,Other,100+,30$+,False,High
150,Web Development,Toptal,Intermediate,Asia,Crypto,80,965,11.25,63.93,3.79,78,Fixed,24.11,139,12.0625,False,Other,10–99,10$–30$,False,Mid
151,SEO,Fiverr,Expert,USA,PayPal,218,7223,81.92,95.41,4.83,71,Hourly,75.41,334,33.13302752293578,True,Other,100+,30$+,False,High
152,Digital Marketing,Upwork,Intermediate,Asia,Mobile Banking,162,4988,95.51,61.98,4.07,17,Fixed,58.24,37,30.790123456790123,False,Other,100+,30$+,False,Mid
153,Content Writing,Upwork,Expert,UK,Crypto,208,181,39.43,57.24,3.32,84,Hourly,67.63,121,0.8701923076923077,True,Other,100+,30$+,False,Mid
154,Web Development,Toptal,Beginner,Canada,Bank Transfer,153,9358,19.43,74.47,4.39,10,Fixed,48.93,407,61.16339869281046,False,North America,100+,10$–30$,True,Mid
155,Data Entry,PeoplePerHour,Intermediate,Canada,Bank Transfer,79,3643,36.02,99.28,4.59,19,Hourly,64.57,64,46.11392405063291,False,North America,10–99,30$+,False,High
156,Digital Marketing,Upwork,Beginner,Asia,Mobile Banking,233,9102,60.35,62.1,3.63,82,Fixed,11.13,145,39.06437768240343,False,Other,100+,30$+,True,Mid
157,App Development,Upwork,Expert,Middle East,PayPal,66,343,35.11,83.61,4.71,30,Fixed,67.29,301,5.196969696969697,True,Other,10–99,30$+,False,High
158,Content Writing,Toptal,Expert,Europe,Crypto,62,9241,63.01,88.08,4.81,30,Hourly,12.81,124,149.0483870967742,True,Other,10–99,30$+,True,High
159,Graphic Design,Freelancer,Expert,Australia,Bank Transfer,278,3735,96.85,61.88,3.55,25,Hourly,72.29,311,13.43525179856115,True,Other,100+,30$+,False,Mid
160,Digital Marketing,Fiverr,Expert,Asia,PayPal,112,8066,68.72,86.41,4.97,88,Fixed,79.44,190,72.01785714285714,True,Other,100+,30$+,True,High
